City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Albany,42.6,-73.97,42.01,70,100,3.8,US,1605233885
Rikitea,-23.12,-134.97,74.66,74,73,15.41,PF,1605233915
Narrabri,-30.32,149.78,82.4,37,0,26.4,AU,1605234094
Hong Kong,22.29,114.16,75.99,38,0,11.41,HK,1605233843
Ribeira Grande,38.52,-28.7,63.34,81,3,3.18,PT,1605234096
Rørvik,64.86,11.24,44.96,76,100,19.91,NO,1605234096
Vaini,-21.2,-175.2,80.6,83,40,12.75,TO,1605233795
Tuktoyaktuk,69.45,-133.04,1.4,84,90,6.93,CA,1605233940
San Patricio,28.02,-97.52,75.0,78,20,8.05,US,1605233816
Ushuaia,-54.8,-68.3,57.2,35,75,24.16,AR,1605234098
Kaitangata,-46.28,169.85,70.68,40,0,2.24,NZ,1605234098
Motygino,58.18,94.76,28.17,98,100,4.7,RU,1605234068
High Level,58.52,-117.14,8.6,92,90,2.24,CA,1605234099
Bredasdorp,-34.53,20.04,69.01,60,0,5.01,ZA,1605234099
Puerto Ayora,-0.74,-90.35,68.0,95,97,3.0,EC,1605233929
Walvis Bay,-22.96,14.51,61.0,87,13,6.93,NA,1605234059
Okha,53.57,142.95,36.23,95,100,8.99,RU,1605233842
Carnarvon,-24.87,113.63,73.4,56,0,13.87,AU,1605234101
Clyde River,70.47,-68.59,3.2,65,90,26.4,CA,1605234101
Ilulissat,69.22,-51.1,23.0,62,99,12.75,GL,1605234102
Manggar,-2.88,108.27,85.03,70,100,3.74,ID,1605234102
Mar del Plata,-38.0,-57.56,64.99,82,0,10.29,AR,1605234004
Khatanga,71.97,102.5,-12.12,90,0,7.09,RU,1605234103
Chaman,30.92,66.45,56.75,38,86,5.17,PK,1605234103
Gornopravdinsk,60.05,69.9,20.35,97,100,2.77,RU,1605234104
Camopi,3.17,-52.32,74.64,93,96,3.31,GF,1605234105
Punta Arenas,-53.15,-70.92,50.0,66,0,24.16,CL,1605234105
Busselton,-33.65,115.33,66.0,61,100,5.99,AU,1605233913
Yelat'ma,54.97,41.75,28.47,99,3,4.97,RU,1605234106
Moranbah,-22.0,148.05,90.52,32,0,12.01,AU,1605234107
Lac du Bonnet,50.25,-96.06,15.8,78,93,13.87,CA,1605234107
Katsuura,35.13,140.3,64.0,54,20,5.82,JP,1605234107
Sibolga,1.74,98.78,84.06,68,85,0.36,ID,1605233919
Saint-Pierre,-21.34,55.48,71.6,60,0,5.82,RE,1605234109
Avarua,-21.21,-159.78,78.8,74,62,10.29,CK,1605234110
Kruisfontein,-34.0,24.73,60.22,87,0,5.12,ZA,1605234110
Carutapera,-1.2,-46.02,78.66,86,89,5.5,BR,1605234111
Iqaluit,63.75,-68.51,19.4,62,75,6.93,CA,1605234111
Alekseyevsk,57.84,108.35,27.73,96,100,1.59,RU,1605234111
Krasnovishersk,60.41,57.08,10.83,95,24,4.38,RU,1605234112
San Quintín,30.48,-115.95,61.23,75,0,9.1,MX,1605233989
Ushtobe,45.25,77.98,34.41,86,93,7.56,KZ,1605234113
Port Blair,11.67,92.75,82.96,76,7,13.06,IN,1605234113
Hermanus,-34.42,19.23,69.01,60,0,5.01,ZA,1605233890
Castro,-24.79,-50.01,61.32,94,1,1.9,BR,1605234001
Yellowknife,62.46,-114.35,14.0,92,20,6.93,CA,1605234113
Izberbash,42.57,47.86,30.2,86,2,6.71,RU,1605234115
Bethel,41.37,-73.41,46.4,70,90,3.36,US,1605234115
Tabou,4.42,-7.35,78.03,87,8,6.02,CI,1605234116
Teya,60.38,92.63,16.57,95,100,0.98,RU,1605233912
Tugolesskiy Bor,55.55,39.82,32.99,95,100,5.08,RU,1605234116
Batagay-Alyta,67.8,130.41,-8.21,88,57,1.95,RU,1605234117
Los Llanos de Aridane,28.66,-17.92,69.8,77,0,3.36,ES,1605234117
Nikolskoye,59.7,30.79,37.99,86,40,2.24,RU,1605234118
Aswān,24.09,32.91,62.56,47,0,10.54,EG,1605234118
Eureka,40.8,-124.16,46.99,36,32,4.5,US,1605234038
Murray Bridge,-35.12,139.27,60.01,76,71,4.0,AU,1605234119
